data_inicio,data_fim,titulo,tipo_evento,publico,local,turno,acao_necessaria,observacoes,fonte_referencia
22/07/2026,22/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
23/07/2026,23/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
24/07/2026,24/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
25/07/2026,25/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
26/07/2026,26/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
27/07/2026,27/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
28/07/2026,28/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
29/07/2026,29/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
30/07/2026,30/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
31/07/2026,31/07/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
01/08/2026,01/08/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
02/08/2026,02/08/2026,Férias Escolares,Férias,Toda comunidade,-,Integral,-,Período de férias,Calendário Escolar 2026
03/08/2026,03/08/2026,Retorno das Aulas,Aulas,Todos os alunos,Unidades Escolares,Integral,Comparecer,Término das férias de julho,Calendário Escolar 2026
07/09/2026,07/09/2026,Independência do Brasil,Feriado,Toda comunidade,-,Integral,-,Feriado nacional,Calendário Escolar 2026
19/09/2026,19/09/2026,Reunião de Pais e Mestres,Reunião Pedagógica,Pais e responsáveis,Unidades Escolares,Matutino,Comparecer,Entrega de boletins,Calendário Escolar 2026
21/09/2026,21/09/2026,Reunião de Pais e Mestres,Reunião Pedagógica,Pais e responsáveis,Unidades Escolares,Noturno,Comparecer,Entrega de boletins,Calendário Escolar 2026
12/10/2026,12/10/2026,Nossa Senhora Aparecida,Feriado,Toda comunidade,-,Integral,-,Feriado nacional,Calendário Escolar 2026
02/11/2026,02/11/2026,Finados,Feriado,Toda comunidade,-,Integral,-,Feriado nacional,Calendário Escolar 2026
15/11/2026,15/11/2026,Proclamação da República,Feriado,Toda comunidade,-,Integral,-,Feriado nacional,Calendário Escolar 2026
20/11/2026,20/11/2026,Consciência Negra,Feriado,Toda comunidade,-,Integral,-,Feriado nacional,Calendário Escolar 2026
25/11/2026,25/11/2026,Reunião de Pais e Mestres,Reunião Pedagógica,Pais e responsáveis,Unidades Escolares,Noturno,Comparecer,Entrega de boletins,Calendário Escolar 2026
28/11/2026,28/11/2026,Reunião de Pais e Mestres,Reunião Pedagógica,Pais e responsáveis,Unidades Escolares,Matutino,Comparecer,Entrega de boletins,Calendário Escolar 2026
16/12/2026,16/12/2026,Encerramento do Ano Letivo,Encerramento,Toda comunidade,Unidades Escolares,Integral,Comparecer,Último dia de aula,Calendário Escolar 2026
17/12/2026,17/12/2026,Recesso Escolar,Recesso,Toda comunidade,-,Integral,-,Início do recesso de fim de ano,Calendário Escolar 2026
